"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"98",8,"Malachi Fields",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-17"
"99",8,"Elijah Sarratt",BAL,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-6"
"100",9,"Mack Hollins",NE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+44"
"101",9,"Darius Slayton",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+38"
"102",9,"Keenan Allen",LAC,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+13"
"103",9,"Devaughn Vele",NO,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+29"
"104",9,"Xavier Legette",CAR,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+43"
"105",9,"Chris Brazzell II",CAR,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","0"
"106",9,"Tyquan Thornton",KC,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-6"
"107",9,"Hollywood Brown",PHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+27"
"108",9,"Isaiah Bond",CLE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+25"
"109",9,"Skyler Bell",BUF,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","0"
"110",9,"Ja'Kobi Lane",BAL,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-12"
"111",9,"Andrei Iosivas",CIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+17"
"112",9,"Konata Mumpfield",LAR,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-9"
"113",9,"Cedric Tillman",CLE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"114",9,"Tez Johnson",TB,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+32"
"115",10,"Calvin Austin III",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+3"
"116",10,"Jalen Royals",KC,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+21"
"117",10,"Luke McCaffrey",WAS,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+7"
"118",10,"Jahan Dotson",ATL,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+23"
"119",10,"Olamide Zaccheaus",ATL,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+23"
"120",10,"Joshua Palmer",BUF,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+9"
"121",10,"Dont'e Thornton Jr.",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-15"
"122",10,"Bryce Lance",NO,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-18"
"123",10,"Xavier Hutchinson",HOU,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"124",10,"DeMario Douglas",NE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+7"
"125",10,"John Metchie III",CAR,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-6"
"126",10,"Brenen Thompson",LAC,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-3"
"127",10,"Caleb Douglas",MIA,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-10"
